username_names,project_urls,stars
ovity,https://github.com/ovity/octotree,22449
gitpod-io,https://github.com/gitpod-io/gitpod,10753
reviewdog,https://github.com/reviewdog/reviewdog,6372
danger,https://github.com/danger/danger,5131
danger,https://github.com/danger/danger-js,4930
joho,https://github.com/joho/awesome-code-review,3916
ajinabraham,https://github.com/ajinabraham/nodejsscan,2148
microsoft,https://github.com/microsoft/vscode-pull-request-github,2054
houndci,https://github.com/houndci/hound,1936
mbj,https://github.com/mbj/mutant,1887
crev-dev,https://github.com/crev-dev/cargo-crev,1839
reviewboard,https://github.com/reviewboard/reviewboard,1477
Tencent,https://github.com/Tencent/CodeAnalysis,1413
ryanmcdermott,https://github.com/ryanmcdermott/code-review-tips,1342
bit4woo,https://github.com/bit4woo/python_sec,1216
code-review-checklists,https://github.com/code-review-checklists/java-concurrency,1169
TeamCodeStream,https://github.com/TeamCodeStream/codestream,878
jiangsir404,https://github.com/jiangsir404/Audit-Learning,865
enlightn,https://github.com/enlightn/enlightn,787
palantir,https://github.com/palantir/policy-bot,619
